Date,Sunspot_No
1/1749,96.7
2/1749,104.3
3/1749,116.7
4/1749,92.8
5/1749,141.7
6/1749,139.2
7/1749,158
8/1749,110.5
9/1749,126.5
10/1749,125.8
11/1749,264.3
12/1749,142
1/1750,122.2
2/1750,126.5
3/1750,148.7
4/1750,147.2
5/1750,150
6/1750,166.7
7/1750,142.3
8/1750,171.7
9/1750,152
10/1750,109.5
11/1750,105.5
12/1750,125.7
1/1751,116.7
2/1751,72.5
3/1751,75.5
4/1751,94
5/1751,101.2
6/1751,84.5
7/1751,110.5
8/1751,99.7
9/1751,39.2
10/1751,38.7
11/1751,47.5
12/1751,73.3
1/1752,58.3
2/1752,83.3
3/1752,118.3
4/1752,98.8
5/1752,99.5
6/1752,66
7/1752,130.7
8/1752,48.8
9/1752,45.2
10/1752,77.7
11/1752,62.7
12/1752,66.7
1/1753,73.3
2/1753,53.3
3/1753,76.2
4/1753,63.3
5/1753,60
6/1753,52.8
7/1753,36.7
8/1753,65
9/1753,46.7
10/1753,41.7
11/1753,33.3
12/1753,11.2
1/1754,0
2/1754,5
3/1754,2.8
4/1754,22.8
5/1754,34.5
6/1754,44.5
7/1754,31.3
8/1754,20.5
9/1754,13.7
10/1754,40.2
11/1754,22
12/1754,7
1/1755,17
2/1755,18.7
3/1755,11.3
4/1755,10.8
5/1755,0
6/1755,0
7/1755,14.3
8/1755,5.3
9/1755,29.7
10/1755,39.5
11/1755,11.3
12/1755,33.3
1/1756,20.8
2/1756,11.8
3/1756,9
4/1756,15.7
5/1756,20.8
6/1756,21.5
7/1756,6
8/1756,10.7
9/1756,19.7
10/1756,23.8
11/1756,28.3
12/1756,15.7
1/1757,23.5
2/1757,35.3
3/1757,43.7
4/1757,50
5/1757,63.5
6/1757,21.3
7/1757,41.7
8/1757,85.5
9/1757,66.2
10/1757,54.2
11/1757,107.8
12/1757,55.8
1/1758,62.7
2/1758,86.7
3/1758,81.7
4/1758,120.5
5/1758,77.3
6/1758,75
7/1758,73.3
8/1758,64.5
9/1758,104.2
10/1758,62.8
11/1758,71.7
12/1758,71.7
1/1759,80.5
2/1759,73.3
3/1759,78
4/1759,78.3
5/1759,81.7
6/1759,83.3
7/1759,85
8/1759,118.8
9/1759,128.7
10/1759,99.5
11/1759,77.2
12/1759,95
1/1760,112.2
2/1760,99.2
3/1760,124.5
4/1760,97.2
5/1760,120
6/1760,80.5
7/1760,110
8/1760,126
9/1760,102.2
10/1760,84.3
11/1760,99.5
12/1760,101.7
1/1761,116.7
2/1761,151.7
3/1761,134.5
4/1761,119.5
5/1761,178.7
6/1761,165.5
7/1761,156.8
8/1761,151.8
9/1761,167.8
10/1761,147.8
11/1761,149.5
12/1761,76.7
1/1762,73
2/1762,121.3
3/1762,76.2
4/1762,100.3
5/1762,66.5
6/1762,128.5
7/1762,56.3
8/1762,112.8
9/1762,114.2
10/1762,115.5
11/1762,129.7
12/1762,128.7
1/1763,94.2
2/1763,53.2
3/1763,57
4/1763,54.8
5/1763,54.5
6/1763,59.7
7/1763,90.3
8/1763,44.2
9/1763,113.5
10/1763,77.2
11/1763,101.5
12/1763,102.3
1/1764,99.5
2/1764,99.5
3/1764,67
4/1764,57.3
5/1764,73.8
6/1764,50
7/1764,50
8/1764,50
9/1764,47
10/1764,46.7
11/1764,43.3
12/1764,42.8
1/1765,40
2/1765,43.3
3/1765,41.7
4/1765,36.7
5/1765,33.7
6/1765,33.3
7/1765,45
8/1765,49.5
9/1765,26.7
10/1765,23.3
11/1765,23.3
12/1765,21.7
1/1766,20
2/1766,18.3
3/1766,61
4/1766,10
5/1766,44.7
6/1766,5
7/1766,5.5
8/1766,6.7
9/1766,7.2
10/1766,8.3
11/1766,9.5
12/1766,32
1/1767,45.7
2/1767,50
3/1767,71.7
4/1767,54.8
5/1767,49.7
6/1767,55.5
7/1767,36.5
8/1767,68
9/1767,71.2
10/1767,73.5
11/1767,91.2
12/1767,88.8
1/1768,89.2
2/1768,110.2
3/1768,77.2
4/1768,71.2
5/1768,129.5
6/1768,129
7/1768,87.7
8/1768,111.3
9/1768,124.7
10/1768,129.7
11/1768,151
12/1768,186.3
1/1769,123.2
2/1769,107
3/1769,107.2
4/1769,161.2
5/1769,122.7
6/1769,157.3
7/1769,197.7
8/1769,200.5
9/1769,248
10/1769,263.7
11/1769,246.8
12/1769,186.7
1/1770,173.3
2/1770,237.5
3/1770,133.5
4/1770,85
5/1770,116.8
6/1770,138.8
7/1770,183
8/1770,210.5
9/1770,174
10/1770,172.7
11/1770,220.3
12/1770,170.5
1/1771,60
2/1771,77
3/1771,77.8
4/1771,108.2
5/1771,254.5
6/1771,199.2
7/1771,112.8
8/1771,97.5
9/1771,169
10/1771,150
11/1771,166.2
12/1771,159.5
1/1772,168.2
2/1772,151.3
3/1772,51.8
4/1772,153.7
5/1772,63.3
6/1772,95
7/1772,128.8
8/1772,93.7
9/1772,84.2
10/1772,131
11/1772,102.2
12/1772,106.7
1/1773,91
2/1773,48.3
3/1773,85.3
4/1773,54.8
5/1773,68.5
6/1773,47.3
7/1773,46.2
8/1773,21.2
9/1773,48.8
10/1773,43.8
11/1773,68.2
12/1773,72
