Date,Sunspot_Area
5/1874,270.6129032
6/1874,345.8333333
7/1874,1033.516129
8/1874,954.1290323
9/1874,335.2666667
10/1874,415.1612903
11/1874,387.6666667
12/1874,92.64516129
1/1875,72.22580645
2/1875,399.1785714
3/1875,423.0322581
4/1875,393.8333333
5/1875,145.4193548
6/1875,438.8333333
7/1875,76.77419355
8/1875,124.2258065
9/1875,34.03333333
10/1875,132.3870968
11/1875,187.4666667
12/1875,91.03225806
1/1876,167.483871
2/1876,263.5517241
3/1876,231.4193548
4/1876,15.76666667
5/1876,37.25806452
6/1876,15.23333333
7/1876,65.61290323
8/1876,34.70967742
9/1876,90.33333333
10/1876,155.2580645
11/1876,69.13333333
12/1876,149.2903226
1/1877,188.9354839
2/1877,66.21428571
3/1877,65.74193548
4/1877,90.6
5/1877,85.48387097
6/1877,57.36666667
7/1877,4.161290323
8/1877,34.93548387
9/1877,72.96666667
10/1877,126.2580645
11/1877,283.4666667
12/1877,23.25806452
1/1878,14.87096774
2/1878,18.14285714
3/1878,47.93548387
4/1878,0.433333333
5/1878,51.48387097
6/1878,41
7/1878,0.35483871
8/1878,0
9/1878,57.23333333
10/1878,9.64516129
11/1878,23.6
12/1878,2
1/1879,1.161290323
2/1879,0
3/1879,0
4/1879,50.46666667
5/1879,5.806451613
6/1879,19.6
7/1879,51.38709677
8/1879,37.25806452
9/1879,41.26666667
10/1879,81.48387097
11/1879,108.6333333
12/1879,33.77419355
1/1880,292.1612903
2/1880,337.6206897
3/1880,142.6774194
4/1880,216.6666667
5/1880,408.9677419
6/1880,488.1666667
7/1880,206.0645161
8/1880,715.1935484
9/1880,926.5
10/1880,561.4516129
11/1880,483.0666667
12/1880,460.6129032
1/1881,585.2258065
2/1881,675.9285714
3/1881,640.483871
4/1881,530.2333333
5/1881,376.9354839
6/1881,612.4
7/1881,941.0645161
8/1881,737.9677419
9/1881,867
10/1881,705.0967742
11/1881,840.4333333
12/1881,641.1612903
1/1882,328.6451613
2/1882,673.1071429
3/1882,928.8709677
4/1882,1799.066667
5/1882,1519.612903
6/1882,557.8333333
7/1882,461.5483871
8/1882,607.5806452
9/1882,1026.866667
10/1882,1393.774194
11/1882,1931.133333
12/1882,352.9032258
1/1883,849.7741935
2/1883,734.7857143
3/1883,621.1935484
4/1883,1132.5
5/1883,339.3548387
6/1883,1451.433333
7/1883,2007.677419
8/1883,595.5806452
9/1883,1230.233333
10/1883,1793.322581
11/1883,1725.6
12/1883,1305.387097
1/1884,1669.741935
2/1884,1536.931034
3/1884,1207.258065
4/1884,1581.233333
5/1884,1210.806452
6/1884,501.5666667
7/1884,561.2903226
8/1884,727.1290323
9/1884,1115.133333
10/1884,994.516129
11/1884,438.0333333
12/1884,865.9677419
1/1885,495.4193548
2/1885,1083.071429
3/1885,746.9677419
4/1885,855.3666667
5/1885,990.6451613
6/1885,1645.666667
7/1885,1155.419355
8/1885,578.7096774
9/1885,646.0333333
10/1885,718.5483871
11/1885,425.2
12/1885,220.483871
1/1886,509.3225806
2/1886,312.9285714
3/1886,1032.193548
4/1886,623.6
5/1886,688.4193548
6/1886,398.0666667
7/1886,395.3870968
8/1886,115.3870968
9/1886,193.6
10/1886,57.4516129
11/1886,1.6
12/1886,189.7096774
1/1887,77.12903226
2/1887,75.57142857
3/1887,30.5483871
4/1887,44.8
5/1887,252.6774194
6/1887,302.1
7/1887,370.516129
8/1887,162.8709677
9/1887,121.7666667
10/1887,54.03225806
11/1887,52.26666667
12/1887,561.4193548
1/1888,117.3870968
2/1888,88.24137931
3/1888,85.35483871
4/1888,26
5/1888,185.6129032
6/1888,32.5
7/1888,22.19354839
8/1888,65.25806452
9/1888,98.7
10/1888,10.51612903
11/1888,240.2666667
12/1888,77
1/1889,2.35483871
2/1889,26.82142857
3/1889,27.80645161
4/1889,26.93333333
5/1889,14.41935484
6/1889,217.1666667
7/1889,153.483871
8/1889,282.2580645
9/1889,89.93333333
10/1889,11.61290323
11/1889,0
12/1889,66.41935484
1/1890,42.25806452
2/1890,1.392857143
3/1890,69.51612903
4/1890,8.933333333
5/1890,21.77419355
6/1890,9.266666667
7/1890,135.2903226
8/1890,157.6129032
9/1890,221.3333333
10/1890,245.6129032
11/1890,181.4666667
12/1890,75.93548387
1/1891,198
2/1891,266.7142857
3/1891,158.6774194
4/1891,354.3666667
5/1891,553.3870968
6/1891,594.4666667
7/1891,1021.870968
8/1891,550.6774194
9/1891,1301.433333
10/1891,605.3225806
11/1891,637.4
12/1891,541.1935484
1/1892,1252.677419
2/1892,1664.689655
3/1892,757.7741935
4/1892,994.2666667
5/1892,1541.774194
6/1892,1117.666667
7/1892,1920.741935
8/1892,1429.451613
9/1892,1002.733333
10/1892,910.9032258
11/1892,953.6
12/1892,865.4516129
1/1893,1158.096774
2/1893,1283.75
3/1893,931.8387097
4/1893,1178.433333
5/1893,1161.83871
6/1893,1333
7/1893,1573.774194
8/1893,2340.83871
9/1893,1644.466667
10/1893,1503.967742
11/1893,1312.733333
12/1893,1962.225806
1/1894,1514.225806
2/1894,1486.214286
3/1894,623.5483871
4/1894,1603.633333
5/1894,1779.064516
6/1894,1898.366667
7/1894,1740.612903
8/1894,1164.548387
9/1894,666.2
10/1894,1227.83871
11/1894,585.4
12/1894,1038.516129
1/1895,911.5483871
2/1895,937.0714286
3/1895,1018
